Alpha-numeric code(s),Alpha-numeric code(s),Station name,Station name,Station name,Opening,Name(s) during planning stages,Abbreviation,Location(s),Connection(s) to other transport
In operation,Future,English • Malay,Chinese,Tamil,Opening,Name(s) during planning stages,Abbreviation,Location(s),Connection(s) to other transport
NE3  EW16,TE17,Outram Park,欧南园,ஊட்ரம் பார்க்,20 June 2003,Outram Park,OTP,"Bukit Merah, Outram",Kampong Bahru Bus Terminal
NE4  DT19,N/A,Chinatown,牛车水,சைனாடவுன்,20 June 2003,People's Park,CNT,Outram,
NE5,N/A,Clarke Quay,克拉码头,கிளார்க் கீ,20 June 2003,Clarke Quay,CQY,Singapore River Planning Area,
NE6  NS24  CC1,N/A,Dhoby Ghaut,多美歌,டோபி காட்,20 June 2003,Dhoby Ghaut,DBG,Museum Planning Area,
NE7  DT12,N/A,Little India,小印度,லிட்டில் இந்தியா,20 June 2003,Kandang Kerbau,LTI,"Kallang, Rochor",
NE8,N/A,Farrer Park,花拉公园,ஃபேரர் பார்க்,20 June 2003,Farrer Park,FRP,"Kallang, Rochor",
NE9,N/A,Boon Keng,文庆,பூன் கெங்,20 June 2003,Boon Keng,BNK,Kallang,
NE10,N/A,Potong Pasir,波东巴西,போத்தோங் பாசிர்,20 June 2003,Sennett,PTP,Toa Payoh,
NE11,N/A,Woodleigh,兀里,உட்லீ,20 June 2011,Woodleigh,WLH,Toa Payoh,Bidadari Bus Interchange[15]
NE12  CC13,N/A,Serangoon,实龙岗,சிராங்கூன்,20 June 2003,Serangoon,SER,Serangoon,Serangoon Bus Interchange
NE13,N/A,Kovan,高文,கோவன்,20 June 2003,Kovan,KVN,Hougang,
NE14,CR8,Hougang,后港,ஹவ்காங்,20 June 2003,Hougang,HGN,Hougang,Hougang Central Bus Interchange
NE15,N/A,Buangkok,万国,புவாங்கோக்,15 January 2006,Buangkok,BGK,Sengkang,Buangkok Bus Interchange[15]
NE16  STC,N/A,Sengkang,盛港,செங்காங்,20 June 2003,Sengkang,SKG,Sengkang,Compassvale Bus Interchange  Sengkang Bus Interchange
NE17  PTC,CP4,Punggol,榜鹅,பொங்கோல்,20 June 2003,Punggol,PGL,Punggol,Punggol Temporary Bus Interchange
North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe),North East Line Extension (NELe)
N/A,NE18,Punggol Coast,榜鹅海岸,பொங்கோல் கோஸ்ட்,2024,Punggol Coast,PGC,Punggol,Punggol North Bus Interchange[15]
Circle Line (CCL),Circle Line (CCL),Circle Line (CCL),Circle Line (CCL),Circle Line (CCL),Circle Line (CCL),Circle Line (CCL),Circle Line (CCL),Circle Line (CCL),Circle Line (CCL)
CC1  NS24  NE6,N/A,Dhoby Ghaut,多美歌,டோபி காட்,17 April 2010,Dhoby Ghaut,DBG,Museum Planning Area,
CC2,N/A,Bras Basah,百胜,பிராஸ் பாசா,17 April 2010,Museum / Bras Basah,BBS,Museum Planning Area,
CC3,N/A,Esplanade,滨海中心,எஸ்பிளனேட்,17 April 2010,"Convention Centre, Esplanade / Suntec",EPN,Downtown Core,
CC4  DT15,N/A,Promenade,宝门廊,புரொமனாட்,17 April 2010,"Millenia, Promenade / Marina Centre / Sheares",PMN,Downtown Core,Marina Centre Bus Terminal
CC5,N/A,Nicoll Highway,尼诰大道,நிக்கல் நெடுஞ்சாலை,17 April 2010,Nicoll Highway / Kampong Glam,NCH,Downtown Core[b],
CC6,N/A,Stadium,体育场,ஸ்டேடியம்,17 April 2010,"Boulevard, Stadium / Tanjong Rhu",SDM,Kallang,
CC7,N/A,Mountbatten,蒙巴登,மவுண்ட்பேட்டன்,17 April 2010,Old Airport Road / Mountbatten,MBT,"Geylang, Kallang",
CC8,N/A,Dakota,达科达,டகோட்டா,17 April 2010,"Tanjong Katong, Dakota / Dunman",DKT,Geylang,
CC9  EW8,N/A,Paya Lebar,巴耶利峇,பாய லேபார்,17 April 2010,Paya Lebar,PYL,Geylang,
CC10  DT26,N/A,MacPherson,麦波申,மெக்பர்சன்,17 April 2010,MacPherson / Ubi,MPS,Geylang,
CC11,N/A,Tai Seng,大成,தை செங்,17 April 2010,Upper Paya Lebar / Tai Seng / Kim Chuan,TSG,"Hougang, Toa Payoh",
CC12,N/A,Bartley,巴特礼,பார்ட்லி,28 May 2009,Bartley / How Sun,BLY,"Serangoon, Toa Payoh",
CC13  NE12,N/A,Serangoon,实龙岗,சிராங்கூன்,28 May 2009,Serangoon,SER,Serangoon,Serangoon Bus Interchange
CC14,N/A,Lorong Chuan,罗弄泉,லோரோங் சுவான்,28 May 2009,Lorong Chuan / Mei Hwan,LRC,Serangoon,
CC15  NS17,N/A,Bishan,碧山,பீஷான்,28 May 2009,Bishan,BSH,Bishan,Bishan Bus Interchange
CC16,N/A,Marymount,玛丽蒙,மேரிமவுண்ட்,28 May 2009,Marymount / Shunfu,MRM,Bishan,
CC17,TE9,Caldecott,加利谷,கால்டிகாட்,8 October 2011,Thomson / Caldecott,CDT,Toa Payoh,
N/A,CC18,Bukit Brown[c],武吉布朗,புக்கிட் பிரவுன்,TBA,Bukit Brown,TBA,Novena,
CC19  DT9,N/A,Botanic Gardens • Kebun Bunga,植物园,பூ மலை,8 October 2011,"Adam, Botanic Gardens / Cluny Road",BTN,Tanglin,
CC20,N/A,Farrer Road,花拉路,ஃபேரர் சாலை,8 October 2011,"Farrer, Farrer Road / Woollerton",FRR,"Bukit Timah, Tanglin",
